"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
37315460.48,155514.28,-125348.58,16977785986.63,-13729061000.39,297.65
-23477513.12,72217.23,-20172.14,10556878764.87,-12233382188.70,297.63
-19736341.24,-40985.73,66830.09,9179552750.96,-10331996112.55,296.35
-8843822.95,38074.06,203995.39,8371497474.99,-9164607680.51,296.53
37443157.41,-27026.79,29081.09,12451299022.56,-9677312630.80,296.80
74280284.43,-101808.30,-176885.63,16537152564.99,-11157941329.64,297.11
86676159.79,-24028.64,-346281.55,20630151789.92,-12800393515.02,296.73
95856690.53,72592.00,-358774.20,21703998436.56,-13145872730.80,296.63
41710844.96,-147679.25,189816.83,16553041928.03,-12667853107.53,296.62
29350939.69,38278.35,162569.47,15618065058.00,-12594606045.99,296.99
15500461.04,-51966.58,134471.92,14129241862.73,-12845462953.41,297.29
74017073.07,221483.26,-230273.01,19013379029.03,-13861290660.14,297.17
52396389.08,278648.11,-310025.45,19461106255.67,-13956410600.75,296.85
-28319456.60,-50509.48,-56844.22,10276827124.03,-12183632723.93,297.11
-53763914.40,-27651.22,90477.79,6853844592.48,-10096157854.35,296.34
-16835602.05,-105818.52,164887.29,6994797492.18,-9053478551.87,296.29
25261941.27,-142476.22,-2448.23,11336742714.19,-9562773764.02,296.91
16386200.71,-268907.89,-49720.09,11768563645.17,-10992243973.29,297.82
76261272.19,-41974.64,-195886.21,18655611981.81,-12384382117.37,297.42
84627707.04,-202290.33,-270599.43,20515823390.04,-13305833687.27,297.04
44801952.14,-72692.77,-8389.77,17003594564.20,-12847198724.75,296.90
42374711.05,-111172.14,57720.26,16367615858.98,-12970204591.35,297.13
74546213.47,-43568.76,-121020.83,19628405748.86,-13610003382.56,297.33
